"Casi 30 au00f1os usando PC, de ellos casi 4 Mac y tengo q decir que el Macbook Air 11"" de @apple es de largo lo mejor. No imagino como mejorarlo""",irrelevant
"ipad: ""mi aparato favorito de la vida"""" frase celebre de Azay Carrasco @apple #ipad""",irrelevant
Dancing bear @apple store Lincoln center http://t.co/XBmjUpMq,irrelevant
che palle sto cacchio di #WP7 di merda con un #Whatsapp che funziona di cacca per colpa del sistema di #notifica! @apple send me an #iphone,irrelevant
"Twitter intu00e8gru00e9 dans ios5, mais le correcteur franu00e7ais ne connau00eet pas ce mot et propose titrer... Peut mieux faire comme intu00e9gration @Apple",irrelevant
Chill lol RT @apple: ud83dude02ud83dude02ud83dude02ud83dude02ud83dude02ud83dude02ud83dude02ud83dude02 RT @Styl_Standin: What is imessage??,irrelevant
@LennyDubz you do know that @apple is not the company. and why u blasting me on #twitter???,irrelevant
@bassponton @iphoneclub @kpn @iphone @apple ja. En dan heb je voor dat geld ook nog een datalimiet....,irrelevant
"Y @Apple? ""@BlackberryVzla: RIM anuncia mu00e1s de 150 millones de dispositivos Vendidos",irrelevant
Fullscreen u00fcberall nur der #AppStore hat keine Option dafu00fcr. Warum? @apple,irrelevant
Love how  @rogersbiz tell u they're not allowed to sell the 4s for $ more than @Apple but yet want $100 more for the 64G,irrelevant
Complimenti sinceri ad @apple per #IOS5 va benissimo su #iPhone e #iPad,irrelevant
"RT @supaluga: RT @modalnho: New mov: ""\u30b7u30e7u30a6u30b1u30fcu30b9@apple store u9280u5ea7"""" u8a18u9332 / starring:ichiro_",irrelevant
Apple vende 4 millones de iPhone 4S en tres du00edas http://t.co/FH5T5Mi6 #turismo #martesviajero @apple,irrelevant
Mooi verhaal over @Dropbox en hoe zij een geweldig aanbod van @apple Steve Jobs hebben geweigerd in het verleden. http://t.co/eARoBIne!,irrelevant
"RT @modalnho: New mov: ""\u30b7u30e7u30a6u30b1u30fcu30b9@apple store u9280u5ea7"""" u8a18u9332 / starring:ichiro_",irrelevant
Verzoek aan @apple voor iphone: koppel agenda aan bellen. Zo kun je in afspraak opgeslagen telnummer meteen aantikken en bellen. #thnx,irrelevant
cc @apple http://t.co/8TnodVS8,irrelevant
"u3055u3063u304du30b9u30d1u30ebu30acu5148u751fu3068u30e9u30fcu30e1u30f3u5c4bu3067modau306bu3064u3044u3066u8a9eu3063u3066u3044u305f@modalnho""\u30b7u30e7u30a6u30b1u30fcu30b9@apple store u9280u5ea7"""" u8a18u9332 / starring:ichiro_",irrelevant
