id,created_at,lang,favourite_count,retweet_count,text,sentiment
125209676416679936,Sat Oct 15 14:01:27 +0000 2011,es,0,0,Sabias que.... RT @MkDirecto Los usuarios del #iPad desayunan y cenan con la #tableta de @Apple: http://t.co/eYXCQQmK,irrelevant
126394266145665025,Tue Oct 18 20:28:35 +0000 2011,tr,0,0,Cenaze nedeniyle kapalıyız' @apple  http://t.co/j4L892Kk,irrelevant
125534067495141376,Sun Oct 16 11:30:28 +0000 2011,de,0,0,#Deal & #Schnäppchen Update: [iPad] iPad 1. Generation generalüberholt ab 389 € @Apple - http://t.co/xDtdZurD,irrelevant
125568051277086721,Sun Oct 16 13:45:31 +0000 2011,pt,0,0,"Olha aqui @apple: na proxima atualizaçao eu quero um atalho pra ligar/desligar a 3g Ok ? Aff fazem tudo pela metade !!! Steve,da um jeito ai",irrelevant
126342441057001472,Tue Oct 18 17:02:39 +0000 2011,es,0,0,Me acabo de convertir en un #fanboy de @apple. El ipad2 con el cristal roto y me lo cambian aunque no lo cubre la garantía. Increíble!,irrelevant
125361267555835905,Sun Oct 16 00:03:49 +0000 2011,en,0,0,New Arrivals and 70 percent off Clearance of Matching G http://t.co/qQcwyl4b@Lds @Scriptures @Apple @E @Book,irrelevant
126195701704163328,Tue Oct 18 07:19:34 +0000 2011,en,0,0,@Notre4Dame @apple haha no fuck that its still took sux and a half hours and i have to be up at 7,irrelevant
125959699089719297,Mon Oct 17 15:41:47 +0000 2011,pt,0,0,"Curso de DJ na @apple em breve, informaçoes 30114020 ou 91287199
msn: dj_sandrocosta@hotmail.com
@djtetekerbes",irrelevant
125705646942330880,Sun Oct 16 22:52:16 +0000 2011,en,0,0,Partner with @apple. I&#39;d pay $50 for aniBulb. &quot;@washingtonpost: Would you pay $25 for this lightbulb? http://t.co/zGFsehAO&quot;,irrelevant
126387209824776192,Tue Oct 18 20:00:33 +0000 2011,es,0,0,#BlackBerry #RIM esta tratando de abarcar el mercado imitando a android y en ciertas cosas a @Apple pero sinceramente no creo que llegue :),irrelevant
125707107495452673,Sun Oct 16 22:58:04 +0000 2011,en,0,0,RT @Leahjanell: This Moment w/ @Shyah & @DianiGroves is brought to you by @NBA @Apple @Riesling oh and http://t.co/Dp4XiDs2,irrelevant
125321769203666944,Sat Oct 15 21:26:52 +0000 2011,en,0,0,Do not check other site for Ed Hardy Black Long Sl http://t.co/hengQGqp@Unlocked @Apple @Touch @Phones,irrelevant
125602732278169601,Sun Oct 16 16:03:19 +0000 2011,es,0,0,Quiero migrar @Apple!,irrelevant
125967413299773440,Mon Oct 17 16:12:26 +0000 2011,es,0,0,Asi o mas mala la #version5.0 de @apple...,irrelevant
126264647652343808,Tue Oct 18 11:53:32 +0000 2011,ja,0,0,"おっとー、出演者ショップスが抜けてた! -- New mov: ""ショウケース@apple store 銀座"" 記録 / starring:ichiro_,REPEAT PATTERN,COFFEE SHOPS,moda → http://t.co/kmJ0o1Ja",irrelevant
