Topic,Sentiment,TwitterID,Tweet
apple,irrelevant,126405660308021248,"Casi 30 a\u00f1os usando PC, de ellos casi 4 Mac y tengo q decir que el Macbook Air 11\"" de @apple es de largo lo mejor. No imagino como mejorarlo"
apple,irrelevant,126399172495679488,"ipad: \""mi aparato favorito de la vida\"" frase celebre de Azay Carrasco @apple #ipad"
apple,irrelevant,126391727408947200,Dancing bear @apple store Lincoln center http://t.co/XBmjUpMq
apple,irrelevant,126379095004160001,che palle sto cacchio di #WP7 di merda con un #Whatsapp che funziona di cacca per colpa del sistema di #notifica! @apple send me an #iphone
apple,irrelevant,126373281099026432,"Twitter int\u00e8gr\u00e9 dans ios5, mais le correcteur fran\u00e7ais ne conna\u00eet pas ce mot et propose titrer... Peut mieux faire comme int\u00e9gration @Apple"
apple,irrelevant,126367728754884609,Chill lol RT @apple: \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 RT @Styl_Standin: What is imessage??
apple,irrelevant,126362562865528832,@LennyDubz you do know that @apple is not the company. and why u blasting me on #twitter???
apple,irrelevant,126360606042374144,@bassponton @iphoneclub @kpn @iphone @apple ja. En dan heb je voor dat geld ook nog een datalimiet....
apple,irrelevant,126352049070809089,"Y @Apple? \""@BlackberryVzla: RIM anuncia m\u00e1s de 150 millones de dispositivos Vendidos, 1 Bill\u00f3n de Apps Descargadas ym\u00e1s http://t.co/5IFKXvg4"
apple,irrelevant,126346563147673600,Fullscreen \u00fcberall nur der #AppStore hat keine Option daf\u00fcr. Warum? @apple
apple,irrelevant,126346004688674816,Love how  @rogersbiz tell u they're not allowed to sell the 4s for $ more than @Apple but yet want $100 more for the 64G
apple,irrelevant,126332817134190592,Complimenti sinceri ad @apple per #IOS5 va benissimo su #iPhone e #iPad
apple,irrelevant,126331879883415552,"RT @supaluga: RT @modalnho: New mov: \""\u30b7\u30e7\u30a6\u30b1\u30fc\u30b9@apple store \u9280\u5ea7\"" \u8a18\u9332 / starring:ichiro_, REPEAT PATTERN, moda \u2192 http://t.co/u82a1Ivk"
